product_id,product_name,category,price,stock
1,Ask,Clothing,157.46,56
2,Computer,Sports,129.56,11
3,Choose,Books,346.34,59
4,Position,Clothing,340.84,73
5,Son,Home,176.13,44
6,Provide,Books,180.46,53
7,Your,Clothing,299.99,2
8,Next,Sports,410.79,34
9,Share,Home,180.78,10
10,Anything,Home,202.08,97
11,Talk,Clothing,98.48,93
12,Require,Clothing,175.4,9
13,Owner,Home,69.6,51
14,Our,Clothing,63.83,85
15,Action,Sports,47.38,75
16,Late,Home,74.04,56
17,At,Home,316.67,58
18,Fast,Clothing,376.9,79
19,American,Home,252.53,21
20,Ago,Electronics,76.72,74
21,Impact,Sports,341.48,5
22,Cell,Home,339.68,100
23,Serious,Sports,356.28,94
24,Fear,Electronics,134.75,54
25,Create,Home,242.98,16
26,Hear,Home,254.52,10
27,Plan,Electronics,447.6,7
28,Catch,Clothing,31.23,75
29,Win,Books,445.99,63
30,Offer,Electronics,287.47,77
31,Particular,Electronics,309.25,17
32,Protect,Sports,324.38,70
33,Thus,Clothing,414.75,80
34,Become,Clothing,475.37,74
35,Accept,Sports,341.77,9
36,Consumer,Sports,96.62,21
37,Student,Clothing,441.52,85
38,Beyond,Home,175.8,6
39,Key,Books,391.29,18
40,Politics,Books,427.07,56
41,Discover,Sports,375.24,15
42,Senior,Sports,303.72,68
43,Amount,Clothing,154.7,68
44,Develop,Sports,412.79,7
45,Couple,Electronics,367.22,77
46,Resource,Sports,77.68,96
47,Program,Home,469.36,42
48,Student,Electronics,233.25,11
49,Particular,Home,461.08,62
50,Court,Clothing,415.97,21
